Time, Altitude, U, V, W, Temperature
0.760414,-9188.264186,-0.42,0.2,0.98,22.29
0.849456,-3525.73171,-0.4,0.28,1.02,22.45
0.938604,-14209.60975,-0.42,0.36,0.78,22.01
1.028128,-4861.966252,-0.4,0.4,0.76,22.09
1.116995,6828.780842,-0.44,0.4,0.76,22.09
1.205646,-1872.21946,-0.46,0.44,0.86,22.17
1.294707,-586.745206,-0.46,0.44,0.84,22.17
1.384511,-9608.545054,-0.48,0.44,0.82,22.25
1.473308,-2497.388914,-0.46,0.5,0.8,22.25
1.562664,-3598.298156,-0.38,0.46,0.76,22.17
1.651661,22444.75495,-0.38,0.3,0.8,22.77
1.741607,-7189.15031,-0.44,0.28,0.86,22.89
1.817068,2976.777707,-0.22,0.4,0.98,23.09
1.884394,-6295.980303,-0.26,0.36,0.98,23.09
1.963411,-2081.812537,-0.5,0.22,1.02,22.45
2.05222,13366.57831,-0.46,0.28,1.06,22.61
2.140666,-12227.15035,-0.48,0.2,1.08,22.53
2.229118,1413.810612,-0.56,0.22,1,22.37
2.3176,-11070.51749,-0.48,0.24,1.02,22.33
2.406797,-978.210107,-0.7,0.18,0.98,22.13
2.495385,15492.63985,-0.64,0.18,0.94,22.09
2.584352,-2512.504693,-0.64,0.2,0.92,22.09
2.673287,-10252.97101,-0.96,-0.06,0.72,21.65
2.762136,-4504.025926,-1,-0.1,0.7,21.61
2.851368,-8946.215939,-0.64,-0.18,0.62,21.77
2.940542,-9518.363312,-0.64,-0.14,0.62,21.81
3.029701,-13906.07699,-0.62,-0.18,0.56,21.65
3.119055,-13902.53137,-0.38,-0.2,0.76,22.33
3.208464,1406.252581,-0.36,-0.22,0.76,22.21
3.297505,8120.382543,-0.44,-0.1,0.66,22.37
3.386256,9012.216022,-0.38,-0.08,0.68,22.41
3.475771,-3751.246769,-0.52,-0.18,0.66,22.29
3.55982,615.615801,-0.46,0.1,0.46,22.05
3.648698,676.139782,-0.46,0.1,0.48,22.05
3.737911,-7769.955996,-0.54,-0.12,0.5,22.25
3.826795,11723.68346,-0.54,-0.14,0.48,22.25
3.915572,2870.590043,-0.52,-0.38,0.72,21.81
4.005181,-3932.028711,-0.48,-0.26,0.78,22.05
4.094635,-6588.277515,-0.5,-0.38,0.74,21.93
4.184115,-9670.370869,-0.48,-0.26,0.6,21.49
4.273638,-1957.319836,-0.56,-0.32,0.62,21.61
4.362854,4754.011053,-0.88,-0.04,0.34,21.73
4.451893,6989.843593,-0.9,-0.08,0.34,21.73
4.541597,-1208.528437,-0.9,-0.06,0.28,21.69
4.612531,15996.97748,-0.4,0.28,0.08,21.77
4.700895,5648.763851,-0.42,0.24,0.12,21.81
4.782373,-8954.385218,-0.46,-0.04,0.36,21.69
4.871542,-8394.242922,-0.56,-0.08,0.36,21.77
4.961008,-7782.072068,-0.52,-0.06,0.32,21.69
5.049641,15016.77947,-0.6,-0.36,0.62,21.61
5.139286,-14348.27144,-0.52,-0.34,0.62,21.65
5.2287,15449.80525,-0.22,-0.04,0.32,21.49
