Time, Altitude, U, V, W, Temperature
0.745995,207.106803,1.32,0.24,0.18,21.45
0.829837,3601.970968,1.44,0.12,0.02,21.61
0.918099,-12113.06673,1.44,0.12,-0.06,21.49
1.006468,-6848.974783,1.2,0.04,0.06,21.41
1.094384,-10036.18193,1.24,0.1,0.04,21.45
1.183793,28406.24179,1.2,0.1,0,21.33
1.268085,-3278.496226,1.2,0.24,-0.24,21.21
1.357059,1745.218511,1.2,0.24,-0.22,21.33
1.445153,9407.841469,1.68,0.56,-0.22,21.53
1.533026,-5077.275987,1.64,0.54,-0.14,21.61
1.621306,-13406.02753,1.66,0.5,-0.22,21.45
1.710063,-11763.09164,1.28,0.84,-0.68,21.61
1.798512,12527.93962,1.36,0.84,-0.72,21.45
1.887108,-6530.379103,2.06,-0.14,-1.1,21.61
1.97483,11895.18023,2.08,-0.12,-1.14,21.61
2.06263,-9832.081257,1.7,0.02,-0.5,21.77
2.150847,2914.237754,1.74,0.04,-0.48,21.77
2.239334,9128.125349,1.76,0,-0.52,21.65
2.331402,-12521.90963,1.78,0.1,-0.46,21.69
2.420062,12966.05679,1.78,0.12,-0.46,21.77
2.508609,3214.976647,1.94,0.12,-0.36,21.89
2.596959,15034.10439,1.94,0.08,-0.34,21.81
2.679765,2163.882604,1.94,0.06,-0.36,21.81
2.768434,-2496.891945,2.14,0.04,-0.46,22.13
2.856634,-2496.891945,2.1,-0.02,-0.46,22.13
2.938888,-0.646527,2.06,-0.12,-0.32,22.33
3.015268,-0.511671,2.08,-0.16,-0.32,22.25
3.102126,-4072.057588,1.7,0.36,-0.56,22.17
3.188765,-7903.960031,1.68,0.36,-0.5,22.37
3.275955,-6776.146779,1.66,0.34,-0.5,22.37
3.36285,3582.439807,1.88,0.12,-0.34,22.33
3.449858,-13312.05344,1.94,0.2,-0.38,22.37
3.536949,-13312.05344,1.96,0.24,-0.64,22.57
3.624221,-6857.369246,1.92,0.2,-0.64,22.61
3.711263,-1320.455719,1.94,0.24,-0.7,22.49
3.798366,290.376814,2.28,0.02,-0.56,22.77
3.885474,-4954.1574,2.3,-0.04,-0.58,22.61
3.972582,-10054.76084,2.36,0.62,-0.8,22.77
4.059558,-7793.242046,2.42,0.58,-0.8,22.65
4.146507,2525.166822,2.34,0.6,-0.84,22.77
4.233321,-12566.18265,2.3,0.58,-0.82,22.81
4.320218,13160.34461,2.36,0.62,-0.86,22.81
4.407321,-10794.94998,1.94,0.3,-0.46,22.93
4.49442,-4526.689421,1.98,0.36,-0.46,22.97
4.581461,-12145.40783,1.78,0.54,-0.24,22.93
4.668065,-0.074093,1.78,0.6,-0.2,22.97
4.741328,-0.211652,1.78,0.54,-0.24,22.81
4.824101,-2186.086695,1.54,0.52,0.16,22.93
4.913136,-6368.554726,1.52,0.5,0.16,22.77
5.001389,881.379873,2.56,0.12,-0.16,23.01
5.080675,881.379873,2.52,0.06,-0.14,23.05
5.168872,-14648.83991,2.5,0.04,-0.16,22.93
