Time, Altitude, U, V, W, Temperature
0.751084,-1302.440496,0.1,0.06,-0.04,22.29
0.840271,-12928.16768,0.1,0.04,-0.02,22.29
0.928301,-8783.913019,0.12,0.02,-0.02,22.37
1.016642,15695.56518,0.12,0.02,0,22.41
1.105163,-5685.036874,0.12,0,-0.06,22.33
1.195562,-9602.611004,0.14,0,-0.02,22.37
1.280441,-224.722549,0.12,-0.02,0,22.33
1.370314,-4008.714372,0.06,-0.08,0,22.37
1.459472,-1130.41565,0.1,-0.04,-0.02,22.33
1.548631,20416.39388,0.02,-0.06,-0.04,22.37
1.637573,-8650.29858,0.1,0,0.02,22.45
1.714428,27417.71932,0.06,0,0.02,22.45
1.790507,-1867.237709,0.04,0.02,0.04,22.49
1.874664,-66.303008,0.12,0.06,0.02,22.41
1.965782,-2543.042644,0.1,0.04,0,22.37
2.051975,-3102.676052,0.1,0.08,0,22.45
2.14262,2930.092343,0.04,0.08,0,22.45
2.232581,-6394.025747,0.04,-0.02,-0.02,22.45
2.323209,-11248.41625,0.08,0.04,0,22.53
2.413318,-12837.45665,0.04,0.04,0.06,22.53
2.503867,8394.206754,0.04,0.06,0.04,22.57
2.594365,-3323.234197,0.04,0.04,0.02,22.49
2.685063,3933.608029,0.04,0.04,-0.02,22.53
2.771312,-14062.82603,-0.02,0.02,-0.02,22.53
2.861841,-8530.233509,0.06,0.06,0.04,22.61
2.952097,-226.88686,0.02,0.08,0.06,22.69
3.042793,-1709.923554,0.04,0.06,0.02,22.53
3.133641,-10913.71065,0.04,0.12,-0.02,22.81
3.224379,-6355.38731,0.02,0.1,0.02,22.81
3.315092,-8383.334872,0.04,0.06,0.04,22.73
3.404811,-12326.21868,0.08,0.1,0.04,22.77
3.490964,-3476.811776,0.1,0.06,0.02,22.65
3.581782,-5419.01882,0.12,0.04,-0.04,22.53
3.671827,-10466.18255,0.04,0,-0.04,22.53
3.762611,12432.29673,0.04,0.12,0.04,22.57
3.852487,-4659.267468,0.04,0.12,0.02,22.45
3.943006,-6599.833385,0.06,0.04,0,22.41
4.033694,-6198.651798,0.04,0.06,0.06,22.53
4.118871,-6409.134126,0.04,0.02,0,22.37
4.209122,7038.352267,0.06,0.1,0.04,22.57
4.299252,6107.841314,0.04,0.06,0.02,22.57
4.389543,-9665.289568,0.04,0.12,0.04,22.45
4.479854,2161.673707,0,0.04,0.04,22.29
4.569868,-6766.786036,0.04,0.06,-0.06,22.29
4.660527,-14175.2913,0.06,0.08,-0.04,22.29
4.751266,-2873.92179,0.04,0.04,0,22.37
4.841498,17746.48717,0.04,0.06,-0.02,22.29
4.931861,-10850.73981,0,0.02,0.02,22.29
5.022089,-11648.97717,0.06,-0.02,0.02,22.25
5.112342,-3776.731355,0.04,0.04,0.04,22.37
5.202097,-1388.103683,0.06,0.06,0.04,22.33
5.289041,-1388.103683,0,-0.04,0.04,22.29
5.378128,7636.913202,0.06,0.04,0.02,22.21
5.467084,-8230.24689,0.02,0.08,0,22.45
5.544598,-3108.805979,0.04,0.06,0,22.41
5.630638,13827.44544,-0.02,-0.04,0,22.29
5.714962,-6237.562515,0.02,0.04,0.04,22.37
5.797733,-9332.249937,0.04,0.1,0.04,22.45
5.886446,-9003.279289,0.04,0.02,0.04,22.29
5.974147,-14944.55812,0,0,0.06,22.33
6.062275,-10294.10274,0.02,-0.02,0.02,22.29
6.15031,16633.39194,0.04,-0.02,0.04,22.37
6.233961,-7507.841258,0.04,0.04,0.08,22.49
6.322254,-5045.038961,0.06,0.04,0.04,22.45
6.411009,-10265.5524,0.04,0.1,0.04,22.49
6.49563,-3956.464694,-0.1,0.04,0.04,22.61
6.584646,-12880.48607,-0.04,0.04,0.04,22.61
6.67465,-10405.84646,0,0.08,0,22.57
6.764136,-9893.571393,-0.02,0.06,0,22.73
6.853542,11467.85085,-0.02,0.06,0.02,22.73
6.943616,-12695.81339,0.04,0.06,-0.04,22.73
7.029,7362.339956,0.04,0.08,-0.06,22.77
7.118784,-11802.30718,0,0.06,-0.04,22.81
7.208279,-10735.519,0.04,0,0,22.77
7.297294,-714.229853,0.02,0.08,0,22.89
7.385372,-7412.469607,0.06,0.06,-0.02,22.93
