Timestamp,Mode,Data
12:04:30.503,RX, -0.076604,0.229828
12:04:30.533,RX, 9.46126,22.4454
12:04:30.622,RX, 0.0383047,0.229828,9
12:04:30.681,RX, .42295,22.4888
12:04:30.712,RX, -0.0383047,0.306437
12:04:30.741,RX, 9.53786,22.4672
12:04:30.833,RX, -0.0383047,0.268133
12:04:30.892,RX, 9.30804,22.4454
12:04:30.922,RX, -0.0766094,0.191523
12:04:30.952,RX, 9.34634,22.4888
12:04:31.042,RX, 0.0383047,0.229828,9
12:04:31.102,RX, .34634,22.554
12:04:31.131,RX, 0.0383047,0.191523,9
12:04:31.162,RX, .0016,22.4454
12:04:31.252,RX, -0.0383047,0.153219
12:04:31.312,RX, 9.42295,22.5322
12:04:31.341,RX, -0.0766094,0.153219
12:04:31.372,RX, 9.30804,22.4237
12:04:31.462,RX, 0.0766094,0.191523,9
12:04:31.522,RX, .38465,22.4888
12:04:31.552,RX, -0.0383047,0.191523
12:04:31.582,RX, 9.15482,22.4454
12:04:31.672,RX, 0.0383047,0.153219,9
12:04:31.732,RX, .26973,22.4888
12:04:31.762,RX, -0.0383047,0.114914
12:04:31.792,RX, 9.42295,22.4454
12:04:31.882,RX, -0.114914,0.306437,9
12:04:31.942,RX, .34634,22.4888
12:04:31.972,RX, 0.0766094,0.153219,9
12:04:32.002,RX, .46126,22.4888
12:04:32.092,RX, 0.114914,0.229828,9.
12:04:32.152,RX, 38465,22.402
12:04:32.181,RX, -0.0383047,0.229828
12:04:32.212,RX, 9.46126,22.5105
12:04:32.302,RX, 0.881008,-1.68541,10
12:04:32.362,RX, .0358,22.4237
12:04:32.392,RX, 1.22575,0.497961,10.
12:04:32.422,RX, 6487,22.3586
12:04:32.512,RX, 1.37897,0.114914,7.8
12:04:32.572,RX, 9076,22.4672
12:04:32.601,RX, -0.0766094,-0.459656
12:04:32.632,RX, 9.69109,22.5105
12:04:32.722,RX, 1.26405,-1.30236,9.1
12:04:32.782,RX, 9312,22.4672
12:04:32.812,RX, 0.689484,-0.268133,9
12:04:32.841,RX, .03991,22.402
12:04:32.932,RX, 1.99184,0.421352,10.
12:04:32.991,RX, 1507,22.5973
12:04:33.022,RX, 1.57049,0.842703,7.8
12:04:33.051,RX, 9076,22.402
12:04:33.142,RX, 1.11084,1.14914,9.57
12:04:33.202,RX, 617,22.6407
12:04:33.231,RX, 1.68541,0.842703,9.2
12:04:33.262,RX, 3143,22.8145
12:04:33.353,RX, 1.30236,0.957617,9.2
12:04:33.411,RX, 3143,22.9232
12:04:33.472,RX, 1.83862,0.689484,9.4
12:04:33.474,RX, 9956,23.0754
12:04:33.562,RX, 1.34066,0.919312,9.5
12:04:33.622,RX, 3786,23.3801
12:04:33.652,RX, 1.6088,0.727789,9.23
